Recent.Dat
11 21 2017 21 21 00 00000000 00110000  13.4 1532.6 168.6  -1.0  0.1   3.911  24.29     0     0
    0.211   -0.854 103.0  82.0
    0.235   -0.902  95.0  76.0
    0.238   -0.910  90.0  72.0
    0.265   -0.972  84.0  68.0
    0.270   -0.962  79.0  64.0
    0.291   -0.974  75.0  59.0
    0.278   -1.001  68.0  55.0
    0.312   -1.041  63.0  50.0

Recent.Dat
11 21 2017 22 15 00 00000000 00110000  13.4 1532.5 168.0  -1.0  0.4   3.970  24.25     0     0
    0.053   -0.315 200.0 200.0
    0.049   -0.377 189.0 186.0
    0.077   -0.440 180.0 177.0
    0.076   -0.462 174.0 173.0
    0.075   -0.479 168.0 166.0
    0.093   -0.482 164.0 161.0
    0.104   -0.517 159.0 159.0
    0.119   -0.545 156.0 156.0
    0.127   -0.574 154.0 151.0
    0.125   -0.565 152.0 149.0
    0.131   -0.616 147.0 144.0
    0.142   -0.620 145.0 139.0
    0.134   -0.620 142.0 136.0
    0.159   -0.653 139.0 132.0
    0.158   -0.643 135.0 128.0
    0.158   -0.651 130.0 123.0
    0.185   -0.689 124.0 114.0
    0.190   -0.696 122.0 110.0
    0.186   -0.725 119.0 106.0
    0.191   -0.717 116.0 102.0
    0.215   -0.726 113.0  97.0
    0.206   -0.737 110.0  92.0
    0.213   -0.799 105.0  84.0
    0.233   -0.833 100.0  79.0
    0.246   -0.879  96.0  72.0
    0.270   -0.893  88.0  67.0
    0.289   -0.942  83.0  63.0
    0.296   -0.960  80.0  58.0
    0.300   -0.950  73.0  55.0
    0.313   -0.993  68.0  50.0

Recent.Dat
11 21 2017 22 21 00 00000000 00110000  13.4 1532.5 168.1  -0.9  0.7   3.987  24.24     0     0
    0.072   -0.270 199.0 197.0
    0.075   -0.309 188.0 187.0
    0.051   -0.383 181.0 178.0
    0.079   -0.445 173.0 170.0
    0.085   -0.497 168.0 166.0
    0.105   -0.508 165.0 159.0
    0.123   -0.508 160.0 156.0
    0.124   -0.509 155.0 150.0
    0.123   -0.547 150.0 147.0
    0.117   -0.553 147.0 143.0
    0.143   -0.544 145.0 140.0
    0.163   -0.551 141.0 138.0
    0.146   -0.517 139.0 134.0
    0.161   -0.558 135.0 131.0
    0.143   -0.554 133.0 125.0
    0.167   -0.584 129.0 121.0
    0.163   -0.645 126.0 116.0
    0.185   -0.660 122.0 110.0
    0.198   -0.676 118.0 102.0
    0.194   -0.736 114.0  98.0
    0.206   -0.726 111.0  95.0
    0.226   -0.783 108.0  90.0
    0.240   -0.836 102.0  82.0
    0.245   -0.861  97.0  75.0
    0.257   -0.900  93.0  69.0
    0.282   -0.905  87.0  63.0
    0.280   -0.964  80.0  60.0
    0.288   -0.949  78.0  56.0
    0.287   -0.996  73.0  52.0
    0.302   -0.994  68.0  48.0

Recent.Dat
11 21 2017 22 27 00 00000000 00110000  13.4 1532.5 168.3  -0.9  0.6   3.994  24.24     0     0
    0.072   -0.261 198.0 199.0
    0.080   -0.336 187.0 184.0
    0.065   -0.374 179.0 176.0
    0.079   -0.433 172.0 171.0
    0.094   -0.476 167.0 167.0
    0.090   -0.467 163.0 163.0
    0.072   -0.475 161.0 159.0
    0.084   -0.500 157.0 156.0
    0.101   -0.515 153.0 150.0
    0.107   -0.531 151.0 147.0
    0.110   -0.519 149.0 143.0
    0.125   -0.508 144.0 138.0
    0.121   -0.566 141.0 133.0
    0.142   -0.573 138.0 128.0
    0.139   -0.563 136.0 123.0
    0.151   -0.568 130.0 119.0
    0.164   -0.635 125.0 115.0
    0.177   -0.667 123.0 113.0
    0.201   -0.692 119.0 109.0
    0.202   -0.732 115.0 103.0
    0.216   -0.730 112.0  96.0
    0.215   -0.773 106.0  90.0
    0.241   -0.836 102.0  86.0
    0.249   -0.858  96.0  79.0
    0.261   -0.881  91.0  74.0
    0.256   -0.855  88.0  70.0
    0.274   -0.882  83.0  65.0
    0.291   -0.935  76.0  61.0
    0.296   -0.910  70.0  56.0
    0.296   -0.948  66.0  51.0

Recent.Dat
11 21 2017 22 33 00 00000000 00110000  13.4 1532.4 168.6  -1.0  0.1   4.004  24.23     0     0
    0.050   -0.353 205.0 205.0
    0.061   -0.392 193.0 193.0
    0.059   -0.504 184.0 184.0
    0.062   -0.557 179.0 176.0
    0.068   -0.605 172.0 170.0
    0.078   -0.582 168.0 166.0
    0.076   -0.575 164.0 163.0
    0.096   -0.563 160.0 159.0
    0.080   -0.553 158.0 153.0
    0.089   -0.603 152.0 149.0
    0.110   -0.625 148.0 142.0
    0.101   -0.631 146.0 136.0
    0.119   -0.674 141.0 132.0
    0.150   -0.716 137.0 127.0
    0.168   -0.726 133.0 123.0
    0.196   -0.790 129.0 116.0
    0.212   -0.844 124.0 112.0
    0.214   -0.870 121.0 108.0
    0.194   -0.822 118.0 105.0
    0.198   -0.795 116.0 102.0
    0.211   -0.839 111.0  97.0
    0.210   -0.933 106.0  93.0
    0.237   -0.998 100.0  88.0
    0.250   -1.039  93.0  86.0
    0.258   -1.029  88.0  80.0
    0.285   -1.019  85.0  72.0
    0.259   -0.987  81.0  65.0
    0.263   -1.009  77.0  59.0
    0.264   -1.030  72.0  54.0
    0.281   -1.107  67.0  51.0

Recent.Dat
11 21 2017 22 39 00 00000000 00110000  13.4 1532.5 167.7  -0.9  0.1   4.004  24.24     0     0
    0.041   -0.298 201.0 200.0
    0.045   -0.394 187.0 186.0
    0.062   -0.436 178.0 176.0
    0.042   -0.459 172.0 171.0
    0.048   -0.469 167.0 165.0
    0.064   -0.483 163.0 162.0
    0.076   -0.462 160.0 158.0
    0.070   -0.472 156.0 152.0
    0.094   -0.514 153.0 146.0
    0.083   -0.508 149.0 142.0
    0.100   -0.544 144.0 139.0
    0.116   -0.541 140.0 136.0
    0.112   -0.603 138.0 130.0
    0.145   -0.638 136.0 128.0
    0.131   -0.619 133.0 124.0
    0.145   -0.630 129.0 119.0
    0.150   -0.665 124.0 115.0
    0.166   -0.679 121.0 111.0
    0.144   -0.663 118.0 108.0
    0.177   -0.708 113.0 104.0
    0.196   -0.739 108.0 101.0
    0.198   -0.752 105.0  98.0
    0.213   -0.806 103.0  91.0
    0.205   -0.772 100.0  84.0
    0.199   -0.793  96.0  78.0
    0.222   -0.813  90.0  72.0
    0.250   -0.885  86.0  68.0
    0.277   -0.911  81.0  64.0
    0.283   -0.939  76.0  60.0
    0.290   -0.935  70.0  56.0

Recent.Dat
11 21 2017 22 45 00 00000000 00110000  13.4 1532.5 167.8  -0.9  0.5   4.010  24.24     0     0
    0.015   -0.278 204.0 203.0
    0.019   -0.322 190.0 186.0
    0.017   -0.407 182.0 179.0
    0.025   -0.454 174.0 172.0
    0.040   -0.475 168.0 165.0
    0.061   -0.494 164.0 161.0
    0.060   -0.517 161.0 160.0
    0.049   -0.486 159.0 157.0
    0.058   -0.486 156.0 153.0
    0.064   -0.568 151.0 148.0
    0.065   -0.507 148.0 144.0
    0.074   -0.476 143.0 140.0
    0.070   -0.489 140.0 135.0
    0.066   -0.519 138.0 130.0
    0.085   -0.574 134.0 125.0
    0.087   -0.586 127.0 121.0
    0.105   -0.642 124.0 117.0
    0.132   -0.666 122.0 111.0
    0.146   -0.694 117.0 109.0
    0.173   -0.734 112.0 100.0
    0.173   -0.774 110.0  97.0
    0.186   -0.794 107.0  94.0
    0.215   -0.845 101.0  90.0
    0.206   -0.867  96.0  85.0
    0.218   -0.852  91.0  83.0
    0.255   -0.901  84.0  78.0
    0.273   -0.912  79.0  71.0
    0.275   -0.900  75.0  67.0
    0.279   -0.948  71.0  62.0
    0.297   -0.957  66.0  57.0

Recent.Dat
11 21 2017 22 51 00 00000000 00110000  13.4 1532.4 168.0  -0.9  0.3   4.025  24.23     0     0
    0.078   -0.345 196.0 195.0
    0.062   -0.325 184.0 182.0
    0.035   -0.375 174.0 172.0
    0.065   -0.424 168.0 166.0
    0.066   -0.471 163.0 161.0
    0.089   -0.466 157.0 157.0
    0.090   -0.513 154.0 155.0
    0.100   -0.514 152.0 152.0
    0.080   -0.505 151.0 147.0
    0.073   -0.520 147.0 142.0
    0.095   -0.494 143.0 139.0
    0.108   -0.525 137.0 137.0
    0.109   -0.528 135.0 133.0
    0.122   -0.625 133.0 128.0
    0.120   -0.605 131.0 122.0
    0.154   -0.669 126.0 118.0
    0.156   -0.632 122.0 114.0
    0.152   -0.650 121.0 111.0
    0.160   -0.694 118.0 105.0
    0.194   -0.740 114.0 100.0
    0.222   -0.834 109.0  96.0
    0.231   -0.850 104.0  92.0
    0.247   -0.917 100.0  86.0
    0.252   -0.928  96.0  79.0
    0.255   -0.976  93.0  73.0
    0.264   -1.000  86.0  68.0
    0.292   -1.052  79.0  65.0
    0.300   -1.054  75.0  61.0
    0.316   -1.050  71.0  57.0
    0.325   -1.094  67.0  52.0

Recent.Dat
11 21 2017 22 57 00 00000000 00110000  13.4 1532.4 167.9  -0.9  0.4   4.025  24.23     0     0
    0.066   -0.284 194.0 195.0
    0.053   -0.346 182.0 181.0
    0.041   -0.395 173.0 173.0
    0.050   -0.417 168.0 165.0
    0.064   -0.442 161.0 162.0
    0.068   -0.473 159.0 159.0
    0.059   -0.484 156.0 156.0
    0.085   -0.509 155.0 152.0
    0.091   -0.555 151.0 146.0
    0.109   -0.592 146.0 142.0
    0.114   -0.583 141.0 139.0
    0.142   -0.588 138.0 135.0
    0.110   -0.576 135.0 130.0
    0.153   -0.609 132.0 126.0
    0.159   -0.615 129.0 123.0
    0.167   -0.625 124.0 119.0
    0.158   -0.626 120.0 113.0
    0.189   -0.658 117.0 109.0
    0.215   -0.689 112.0 106.0
    0.215   -0.720 108.0 100.0
    0.225   -0.768 106.0  94.0
    0.218   -0.772 103.0  88.0
    0.235   -0.834  99.0  85.0
    0.233   -0.856  97.0  79.0
    0.237   -0.862  92.0  73.0
    0.234   -0.867  86.0  67.0
    0.253   -0.886  82.0  62.0
    0.283   -0.931  77.0  57.0
    0.297   -0.957  71.0  51.0
    0.326   -0.992  65.0  47.0

Recent.Dat
11 21 2017 23 03 00 00000000 00110000  13.4 1532.4 167.6  -0.9  0.5   4.031  24.23     0     0
    0.040   -0.257 200.0 199.0
    0.047   -0.290 190.0 187.0
    0.037   -0.335 180.0 175.0
    0.047   -0.410 171.0 169.0
    0.034   -0.454 168.0 164.0
    0.043   -0.488 164.0 160.0
    0.060   -0.514 160.0 157.0
    0.087   -0.538 154.0 154.0
    0.087   -0.532 152.0 150.0
    0.086   -0.535 149.0 147.0
    0.073   -0.608 145.0 144.0
    0.070   -0.625 142.0 139.0
    0.072   -0.606 141.0 133.0
    0.096   -0.673 136.0 130.0
    0.120   -0.678 133.0 126.0
    0.152   -0.751 129.0 122.0
    0.162   -0.773 123.0 115.0
